,username,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,UniqueID,track_uri
12313,ozdakaac3d5c3izl7tcrrzu7i,135240,I Like Me Better,Lauv,I met you when I was 18.,spotify:track:0EcQcdcbQeVJn9fknj44Be,Lauv:I Like Me Better,0EcQcdcbQeVJn9fknj44Be
12314,ozdakaac3d5c3izl7tcrrzu7i,92620,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift:Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j
12315,ozdakaac3d5c3izl7tcrrzu7i,115200,Gorgeous,Taylor Swift,reputation,spotify:track:1ZY1PqizIl78geGM4xWlEA,Taylor Swift:Gorgeous,1ZY1PqizIl78geGM4xWlEA
12316,ozdakaac3d5c3izl7tcrrzu7i,168780,Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:77sMIMlNaSURUAXq5coCxE,Taylor Swift:Fearless (Taylor’s Version),77sMIMlNaSURUAXq5coCxE
12317,ozdakaac3d5c3izl7tcrrzu7i,30320,You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift:You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA
12318,ozdakaac3d5c3izl7tcrrzu7i,1920,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,spotify:track:0caphG80bqllBXD9qCbMlD,Rihanna:Disturbia,0caphG80bqllBXD9qCbMlD
12319,ozdakaac3d5c3izl7tcrrzu7i,1820,Starboy,The Weeknd,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd:Starboy,7MXVkk9YMctZqd1Srtv4MB
12320,ozdakaac3d5c3izl7tcrrzu7i,1610,Party Monster,The Weeknd,Starboy,spotify:track:4F7A0DXBrmUAkp32uenhZt,The Weeknd:Party Monster,4F7A0DXBrmUAkp32uenhZt
12321,ozdakaac3d5c3izl7tcrrzu7i,1220,you should see me in a crown,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:track:3XF5xLJHOQQRbWya6hBp7d,Billie Eilish:you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d
12322,ozdakaac3d5c3izl7tcrrzu7i,850,all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:track:6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish:all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx
